user_id,email,password_hash,full_name,role,active,created_at,last_login
ADMIN001,admin@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,System Administrator,admin,True,2025-11-29 15:55:44.555855,2025-11-29 15:55:44.555883
U1764693957,tech2026team@gmail.com,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,Avish Maniar,admin,True,2025-12-02T11:45:57.536121,
USER_2115580,saanvi.joshi@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Saanvi Joshi,tutor,True,2025-12-02T12:27:03.240572,
USER_2192067,james.martin@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,James Martin,tutor,True,2025-12-02T12:27:03.240572,
USER_2425166,aarav.shah@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Aarav Shah,tutor,True,2025-12-02T12:27:03.240572,
USER_2598056,liam.johnson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Liam Johnson,tutor,True,2025-12-02T12:27:03.240572,
USER_2630571,avni.desai@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Avni Desai,tutor,True,2025-12-02T12:27:03.240572,
USER_2701634,emily.brown@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Emily Brown,tutor,True,2025-12-02T12:27:03.240572,
USER_2750869,neha.patel@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Neha Patel,tutor,True,2025-12-02T12:27:03.240572,
USER_3534553,benjamin.lewis@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Benjamin Lewis,tutor,True,2025-12-02T12:27:03.240572,
USER_4146623,noah.wilson@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Noah Wilson,tutor,True,2025-12-02T12:27:03.240572,
USER_6362733,meera.nair@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Meera Nair,tutor,True,2025-12-02T12:27:03.240572,
USER_6403246,isabella.davis@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Isabella Davis,tutor,True,2025-12-02T12:27:03.240572,
USER_6474141,anaya.sharma@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Anaya Sharma,tutor,True,2025-12-02T12:27:03.240572,
USER_6664205,mason.lee@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Mason Lee,tutor,True,2025-12-02T12:27:03.240572,
USER_6887917,lucas.moore@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Lucas Moore,tutor,True,2025-12-02T12:27:03.240572,
USER_7134699,vivaan.kumar@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Vivaan Kumar,tutor,True,2025-12-02T12:27:03.240572,
USER_7264805,isha.reddy@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Isha Reddy,tutor,True,2025-12-02T12:27:03.240572,
USER_7644166,ryan.scott@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Ryan Scott,tutor,True,2025-12-02T12:27:03.240572,
USER_7916493,arjun.kapoor@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Arjun Kapoor,tutor,True,2025-12-02T12:27:03.240572,
USER_8853681,aanya.mehta@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Aanya Mehta,tutor,True,2025-12-02T12:27:03.240572,
USER_9323660,zoya.singh@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Zoya Singh,tutor,True,2025-12-02T12:27:03.240572,
STU0001,alice.j@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Alice Johnson,student,True,2025-12-02T13:36:50.682399,
STU0002,bob.s@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Bob Smith,student,True,2025-12-02T13:36:50.682399,
STU0003,charlie.b@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Charlie Brown,student,True,2025-12-02T13:36:50.682399,
STU0004,diana.p@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Diana Prince,student,True,2025-12-02T13:36:50.682399,
STU0005,evan.w@university.edu,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Evan Wright,student,True,2025-12-02T13:36:50.682399,
